systemThrouput,
2.80469304,4.985544007
2.921743737,5.021533407
3.045274478,5.016831336
3.164054563,5.01671944
3.260548582,5.004330195
3.347796374,5.004952485
3.427755415,5.001489563
3.494072695,5.006201773
3.571860404,4.995680715
3.624720132,5.019948459
3.670674398,5.016364142
3.718093808,5.00855988
3.764979124,5.026315355
3.793412081,5.022302472
3.83674506,5.009233755
3.868407721,5.013078133
3.906957351,5.009209021
3.927744218,5.032945601
3.958279855,5.019453531
3.992320114,5.013860565
4.000766047,5.02271363
4.025019296,5.018325389
4.063218629,5.038574883
4.075315859,5.021322919
4.08181243,5.014702238
4.117598416,5.003863432
4.140657583,5.015852151
4.153263517,5.000193153
4.158995975,5.020118471
4.187504927,5.014427917
4.201643648,5.027704042
4.217356861,5.008311546
4.222322863,5.040308319
4.23349406,5.022326187
4.266013576,5.004708235
4.270937601,5.00329999
4.281679937,5.013261325
4.288277442,5.045608393
4.298086764,5.008383149
4.295590589,5.01431566
4.31893841,5.025226556
4.325912942,5.014989916
4.33712006,5.018792712
4.336113629,4.99340336
4.363372493,5.011883697
4.361430685,5.031533289
4.365395199,5.012425817
4.369459714,5.030643609
4.392575751,4.995343282
4.386803681,5.029966327
4.392893556,5.032471399
4.394441026,5.002969061
4.419860556,5.017667738
4.422373371,5.002935242
4.423726715,5.020558181
4.440097845,5.002731454
4.439601386,5.017648297
4.448423911,5.011920483
4.454504886,5.001753871
4.470252841,5.021249066
4.467505604,5.032213237
4.464389056,5.008778026
4.485631635,4.997327125
4.486443956,5.006765301
4.47776027,5.02881815
4.499480324,5.018731058
4.495314374,5.008537569
4.501124576,5.029443088
4.509599595,5.003980159
4.514974245,5.005600064
4.501516101,5.006347229
4.504584558,5.003092249
4.524419799,5.008033745
4.519841111,5.027485009
4.523943124,5.016149907
4.526646373,5.03991544
4.556069867,5.009953687
4.543419238,5.01574995
4.548554198,5.007072951
4.563835578,5.00994936
4.563489587,5.016434444
4.551978286,5.025828578
4.565476476,5.031000639
4.573321398,5.02048288
4.562714628,5.020599634
4.56999163,4.989235727
4.568004337,5.018518978
4.572504279,4.993548681
4.579506738,5.011554967
4.59438199,5.010921664
4.590229752,5.012695459
4.589741256,5.006154052
4.602765901,5.021603021
4.590298907,4.993509357
4.602161743,5.018301281
4.601713381,5.028572466
4.610751078,5.01493572
4.61110832,5.007457571
4.623766507,5.02129936
4.605978897,5.014161061
4.627887603,5.008882965
4.614199607,5.022312494
4.611339041,5.020926852
4.624535677,5.013086334
4.637156472,4.998983076
4.621326502,5.020754859
4.636293488,4.997460148
4.645079287,5.009701756
4.645062576,5.016836285
4.62990005,4.998563353
4.648411857,5.028947324
4.643236279,5.014688275
4.646303281,5.028733565
4.655940858,5.008144339
4.649243227,5.022517976
4.658065022,5.00226902
4.654774745,5.003961763
4.66895245,5.001795993
4.671182137,5.028287875
4.660271581,4.994914446
4.681625777,5.014424086
4.654423001,4.996661054
4.676336623,5.00644446
4.677300578,5.026795651
4.666046618,5.02043553
4.668423801,5.01339004
4.672476944,5.021281181
4.671332616,5.00366403
4.682737572,5.030502607
4.669616526,5.015772544
4.679110924,5.047993462
4.68522121,5.021004885
4.683521652,5.01019189
4.692454523,4.998071348
4.681439597,5.031538338
4.698848685,5.010697829
4.6955029,5.026772816
4.684968849,4.983622559
4.697930244,5.017536337
4.682284414,5.013787983
4.701730969,5.028655223
4.69611112,5.009539379
4.703172115,5.024244059
4.697063096,5.019386258
4.697670909,5.002107549
4.703812306,5.020269145
4.713848614,5.003462794
